SKU;CATEGORY;
1;Смарфоны;(1,Смарфоны)
2;Смарфоны;(2,Смарфоны)
3;Смарфоны;(3,Смарфоны)
4;Смарфоны;(4,Смарфоны)
5;Смарфоны;(5,Смарфоны)
6;Смарфоны;(6,Смарфоны)
7;Смарфоны;(7,Смарфоны)
8;Телевизоры ;(8,Телевизоры )
9;Телевизоры ;(9,Телевизоры )
10;Телевизоры ;(10,Телевизоры )
11;Телевизоры ;(11,Телевизоры )
12;Телевизоры ;(12,Телевизоры )
13;Телевизоры ;(13,Телевизоры )
14;Телевизоры ;(14,Телевизоры )
15;Телевизоры ;(15,Телевизоры )
16;Холодильники;(16,Холодильники)
17;Холодильники;(17,Холодильники)
18;Холодильники;(18,Холодильники)
19;Холодильники;(19,Холодильники)
20;Холодильники;(20,Холодильники)
21;Холодильники;(21,Холодильники)
22;Холодильники;(22,Холодильники)
23;Холодильники;(23,Холодильники)
